"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"157",157,127,127,"Charles Clay","TE","MIA",5,80,199,131.6382979,21.8470754,147,16,0.582251082,93.7,5.9
"158",158,128,128,"Devonta Freeman","RB","ATL",9,96,187,125.744186,21.43035559,139,15,NA,101.8,6.4
"159",159,129,129,"Ryan Tannehill","QB","MIA",5,67,187,132.8297872,20.7726489,157,16,0.260593735,244.7,15.3
"160",160,130,130,"Seattle Seahawks","DST","SEA",4,103,205,131.1555556,16.65860546,58,16,NA,NA,NA
"161",161,131,131,"Ladarius Green","TE","SD",10,92,186,136.787234,20.82034211,154,16,0.511658485,96.1,6
"162",162,132,132,"Jordan Matthews","WR","PHI",7,105,190,137.2826087,23.01763317,174,16,NA,92.2,5.8
"163",163,133,133,"Carson Palmer","QB","ARI",4,85,166,134.627907,17.90676533,155,16,0.259807992,244.1,15.3
"164",164,134,134,"Jonathan Stewart","RB","CAR",12,78,176,137.6,20.854416,186,16,0.311748859,78.8,4.9
"165",165,135,135,"Ahmad Bradshaw","RB","IND",10,98,185,139.0869565,21.00913475,177,16,0.329606722,70.8,4.4
"166",166,136,136,"Jarrett Boykin","WR","GB",9,101,185,133.3809524,19.119863,159,16,0.605534455,104.5,6.5
"167",167,137,137,"LeGarrette Blount","RB","PIT",12,82,183,137.5909091,22.99141953,146,16,0.583534441,88.3,5.5
"168",168,138,138,"Kenny Stills","WR","NO",6,82,180,136.2142857,21.47150461,166,16,0.565964657,98.3,6.1
"169",169,139,139,"Heath Miller","TE","PIT",12,83,201,139.2325581,20.10187682,152,16,0.400689999,96.2,6
"170",170,140,140,"Aaron Dobson","WR","NE",10,81,197,136.6,22.66473031,207,16,0.479965899,65.4,4.1
"171",171,141,141,"Doug Baldwin","WR","SEA",4,96,178,139.15,20.42369947,173,16,0.488039751,99.8,6.2
"172",172,142,142,"Kenny Britt","WR","STL",4,71,200,137.8461538,28.97615152,193,16,0.67739949,85.7,5.4
"173",173,143,143,"Steve Smith","WR","BAL",11,100,188,146.9318182,21.05555177,144,17,0.408223336,94.7,5.9
"174",174,144,144,"Khiry Robinson","RB","NO",6,69,195,138.6315789,25.20382286,135,16,0.575167038,96.7,6
"175",175,145,145,"Tavon Austin","WR","STL",4,101,188,141.6052632,24.00607322,148,16,0.587840899,92.1,5.8
"176",176,146,146,"Danny Amendola","WR","NE",10,93,196,144.025641,28.09369596,143,16,0.454286763,86,5.4
"177",177,147,147,"James Jones","WR","OAK",5,93,183,143,24.9082527,167,16,0.397690799,94.9,5.9
"178",178,148,148,"Christine Michael","RB","SEA",4,93,242,147.5,26.59699231,153,17,0.23628692,87.4,5.5
"179",179,149,149,"Alex Smith","QB","KC",6,106,192,147.8292683,18.76673554,151,17,0.520446191,241.4,15.1
"180",180,150,150,"Antonio Gates","TE","SD",10,104,175,152.452381,12.53794694,137,17,0.416023511,95.9,6
"181",181,151,151,"Delanie Walker","TE","TEN",9,128,199,153.6190476,15.6356619,190,17,0.583390536,90.8,5.7
"182",182,152,152,"Eli Manning","QB","NYG",8,91,186,149.1578947,17.55671459,163,17,0.296729405,225.4,14.1
"183",183,153,153,"Andrew Hawkins","WR","CLE",4,110,189,152.0769231,21.36902217,232,17,0.502360484,87.4,5.5
"184",184,154,154,"Marqise Lee","WR","JAC",11,104,198,153.4102564,26.14821458,201,17,NA,88.6,5.5
"185",185,155,155,"Josh McCown","QB","TB",7,111,206,153.5897436,21.81826799,178,17,0.401778402,209.8,13.1
"186",186,156,156,"Lance Dunbar","RB","DAL",11,109,189,150.3888889,21.55262008,214,17,0.480505796,74.3,4.6
"187",187,157,157,"Marvin Jones","WR","CIN",4,77,255,152.3333333,36.02328091,172,17,0.519591214,85.4,5.3
"188",188,158,158,"San Francisco 49ers","DST","SF",8,112,206,158.7179487,21.5845965,82,17,NA,NA,NA
"189",189,159,159,"Joe Flacco","QB","BAL",11,120,194,157.8947368,15.95188402,149,17,0.265404473,226.9,14.2
"190",190,160,160,"Dwayne Allen","TE","IND",10,101,193,156.0555556,18.26950167,219,17,0.327109012,85.4,5.3
"191",191,93,93,"Dennis Pitta","TE","BAL",11,61,126,93.64705882,13.93799087,77,17,0.474807928,121.4,7.6
"192",192,94,94,"Rueben Randle","WR","NYG",8,54,131,94.21568627,16.6607602,122,17,0.555316664,115.5,7.2
"193",193,95,95,"Brandin Cooks","WR","NO",6,59,185,95.04,20.98185883,100,17,NA,113,7.1
"194",194,96,96,"Bernard Pierce","RB","BAL",11,56,155,94.57142857,19.85354541,120,17,0.402639128,110.8,6.9
"195",195,97,97,"Sammy Watkins","WR","BUF",9,75,153,102.22,13.43322746,98,17,NA,121.5,7.6
"196",196,98,98,"Dwayne Bowe","WR","KC",6,79,147,103.92,13.6247422,117,17,0.378675645,110.5,6.9
"197",197,99,99,"Kelvin Benjamin","WR","CAR",12,56,150,100.9791667,18.273945,123,17,NA,118.4,7.4
"198",198,100,100,"Cecil Shorts","WR","JAC",11,66,184,106.08,22.82878884,131,17,0.460484404,103.6,6.5
"199",199,101,101,"Mike Evans","WR","TB",7,74,199,106.12,19.80367643,115,17,NA,111.4,7
"200",200,102,102,"Philip Rivers","QB","SD",10,57,150,101.1276596,21.19274968,104,17,0.227119895,266.3,16.6
"201",201,103,103,"Justin Hunter","WR","TEN",9,66,142,100.8478261,15.3537524,134,17,0.670918028,109,6.8
"202",202,104,104,"Jeremy Hill","RB","CIN",4,68,165,103.7659574,20.34825808,138,17,NA,107.8,6.7
"203",203,105,105,"Danny Woodhead","RB","SD",10,68,143,106.0833333,15.83486835,109,17,0.40507262,122.3,7.6
"204",204,106,106,"Zach Ertz","TE","PHI",7,74,145,106.7083333,15.34459505,110,17,0.505926043,105.7,6.6
"205",205,107,107,"Mark Ingram","RB","NO",6,56,174,107.8541667,23.36128348,128,17,0.452447261,98.6,6.2
"206",206,108,108,"Knowshon Moreno","RB","MIA",5,43,190,109.4375,25.13953249,103,17,0.361402492,127.6,8
"207",207,109,109,"DeAndre Hopkins","WR","HOU",10,79,148,109.7291667,14.23133219,125,17,0.427380274,105.4,6.6
"208",208,110,110,"Ben Roethlisberger","QB","PIT",12,55,149,107.4347826,18.14273381,119,17,0.227106786,265.2,16.6
"209",209,111,111,"Riley Cooper","WR","PHI",7,54,193,113.7959184,20.874728,111,17,0.545642997,107.8,6.7
"210",210,112,112,"DeAngelo Williams","RB","CAR",12,72,163,110.7021277,15.83816411,118,17,0.426877063,121.2,7.6
"211",211,113,113,"Anquan Boldin","WR","SF",8,83,159,114.8163265,17.80354639,114,17,0.377205135,107.7,6.7
"212",212,114,114,"Terrance West","RB","CLE",4,61,177,117.106383,24.20588467,124,17,NA,120.3,7.5
"213",213,115,115,"Darren Sproles","RB","PHI",7,83,152,116.9347826,14.57425093,99,17,0.344458691,103.2,6.5
"214",214,116,116,"Carlos Hyde","RB","SF",8,73,177,119.0638298,23.25565981,121,17,NA,102.3,6.4
"215",215,117,117,"Andy Dalton","QB","CIN",4,67,176,119.4444444,22.16659705,126,18,0.28033951,251.3,15.7
"216",216,118,118,"Greg Jennings","WR","MIN",10,71,173,120.3777778,20.01920066,156,18,0.400627567,94.9,5.9
"217",217,119,119,"Martellus Bennett","TE","CHI",9,97,171,124.2978723,15.5110323,116,18,0.511996498,101.3,6.3
"218",218,120,120,"Markus Wheaton","WR","PIT",12,96,179,124.0217391,17.86481742,160,18,0.759322034,93.6,5.8
"219",219,121,121,"Darren McFadden","RB","OAK",5,68,163,122.9333333,22.45231985,132,18,0.378879456,92.9,5.8
"220",220,122,122,"Andre Williams","RB","NYG",8,66,182,123.4,24.45531072,136,18,NA,105.9,6.6
"221",221,123,123,"Brian Hartline","WR","MIA",5,98,186,125.7391304,16.03180912,164,18,0.404735999,102.5,6.4
"222",222,124,124,"Christopher Ivory","RB","NYJ",11,89,165,124.3555556,17.50829081,145,18,NA,94.4,5.9
"223",223,125,125,"Hakeem Nicks","WR","IND",10,54,191,125.1333333,21.94396905,133,18,0.411702162,100.4,6.3
"224",224,126,126,"Shonn Greene","RB","TEN",9,60,191,130.0869565,24.83320541,162,18,0.443421339,95.3,6
